ID_TRILHA;G_SAÚDE;G_ISOLAMENTO;G_TRILHA;N_ISOLAMENTO;N_TRILHA;M_225886;M_246180;M_268298;M_292402;M_318672;M_347302;M_378504;M_412509;M_449569;M_489959;M_533978;M_581951;M_634235;M_691215;M_753315;M_820994;M_894753;M_975139;M_1062747;M_1158226;M_1262283;M_1375688;M_1499282;M_1633980;M_1780779;M_1940767;M_2115128;M_2305154;M_2512253;M_2737957;M_2983939;M_3252021;M_3544187;M_3862602;M_4209624;M_4587823;F_225886;F_246180;F_268298;F_292402;F_318672;F_347302;F_378504;F_412509;F_449569;F_489959;F_533978;F_581951;F_634235;F_691215;F_753315;F_820994;F_894753;F_975139;F_1062747;F_1158226;F_1262283;F_1375688;F_1499282;F_1633980;F_1780779;F_1940767;F_2115128;F_2305154;F_2512253;F_2737957;F_2983939;F_3252021;F_3544187;F_3862602;F_4209624;F_4587823
I1_C3_T7;0,00;1,00;7,00;0,50;1,75;148932,00;136890,00;125879,00;115693,00;106358,00;97772,00;89859,00;82620,00;75943,00;69797,00;64145,00;58970,00;54171,00;49756,00;45722,00;42009,00;38601,00;35464,00;32579,00;29920,00;27479,00;25230,00;23157,00;21251,00;19495,00;17878,00;16387,00;15014,00;13740,00;12555,00;11465,00;10471,00;9535,00;8694,00;7920,00;7190,00;-86,77;-86,68;-86,55;-86,47;-86,34;-86,20;-86,06;-85,90;-85,71;-85,52;-85,32;-85,08;-84,85;-84,57;-84,23;-83,88;-83,50;-83,10;-82,66;-82,17;-81,64;-81,06;-80,43;-79,74;-78,99;-78,17;-77,27;-76,29;-75,24;-74,07;-72,71;-71,25;-69,58;-67,77;-65,86;-64,04
I1_C3_T9;0,00;1,00;9,00;0,50;2,25;140767,00;129364,00;118957,00;109361,00;100528,00;92387,00;84939,00;78077,00;71756,00;65961,00;60629,00;55728,00;51196,00;47028,00;43209,00;39706,00;36482,00;33514,00;30785,00;28276,00;25967,00;23839,00;21882,00;20079,00;18420,00;16890,00;15480,00;14181,00;12978,00;11858,00;10828,00;9885,00;9004,00;8204,00;7469,00;6778,00;-86,78;-86,71;-86,59;-86,48;-86,36;-86,23;-86,08;-85,92;-85,74;-85,54;-85,33;-85,10;-84,87;-84,57;-84,24;-83,90;-83,51;-83,11;-82,67;-82,18;-81,65;-81,07;-80,44;-79,75;-79,00;-78,17;-77,28;-76,30;-75,24;-74,07;-72,71;-71,25;-69,58;-67,78;-65,86;-64,03
I2_C0_T1;1,00;2,00;1,00;1,00;0,25;185993,00;171140,00;157387,00;144813,00;133209,00;122562,00;112735,00;103697,00;95372,00;87707,00;80697,00;74223,00;68207,00;62666,00;57588,00;52961,00;48663,00;44742,00;41121,00;37777,00;34704,00;31871,00;29259,00;26859,00;24643,00;22601,00;20720,00;18983,00;17368,00;15850,00;14453,00;13183,00;12009,00;10929,00;9923,00;8983,00;-85,56;-85,50;-85,44;-85,34;-85,24;-85,12;-85,02;-84,86;-84,73;-84,48;-84,27;-84,09;-83,89;-83,51;-83,20;-82,83;-82,44;-82,04;-81,58;-81,06;-80,50;-79,89;-79,21;-78,46;-77,65;-76,77;-75,81;-74,76;-73,63;-72,38;-70,86;-69,19;-67,37;-65,39;-63,19;-60,75
I2_C0_T10;1,00;2,00;10,00;1,00;2,50;138031,00;126946,00;116759,00;107418,00;98809,00;90884,00;83570,00;76868,00;70712,00;65000,00;59811,00;54990,00;50565,00;46446,00;42693,00;39243,00;36068,00;33141,00;30449,00;27969,00;25683,00;23588,00;21656,00;19868,00;18225,00;16710,00;15312,00;14022,00;12823,00;11705,00;10672,00;9728,00;8856,00;8049,00;7296,00;6598,00;-85,65;-85,59;-85,52;-85,43;-85,35;-85,20;-85,07;-84,91;-84,77;-84,59;-84,37;-84,15;-83,95;-83,62;-83,30;-82,93;-82,51;-82,11;-81,63;-81,12;-80,56;-79,94;-79,26;-78,51;-77,69;-76,81;-75,83;-74,77;-73,62;-72,34;-70,83;-69,17;-67,35;-65,37;-63,15;-60,70
I2_C0_T11;1,00;2,00;11,00;1,00;2,75;137595,00;126567,00;116495,00;107120,00;98540,00;90656,00;83390,00;76674,00;70516,00;64868,00;59627,00;54855,00;50398,00;46313,00;42574,00;39127,00;35984,00;33065,00;30378,00;27907,00;25632,00;23534,00;21603,00;19821,00;18183,00;16671,00;15277,00;13990,00;12795,00;11679,00;10650,00;9709,00;8837,00;8031,00;7281,00;6581,00;-85,61;-85,56;-85,50;-85,40;-85,30;-85,18;-85,06;-84,91;-84,76;-84,53;-84,34;-84,12;-83,89;-83,61;-83,29;-82,89;-82,54;-82,08;-81,61;-81,10;-80,53;-79,91;-79,23;-78,48;-77,67;-76,77;-75,80;-74,74;-73,59;-72,31;-70,80;-69,15;-67,34;-65,34;-63,12;-60,64
I2_C0_T12;1,00;2,00;12,00;1,00;3,00;135310,00;124484,00;114492,00;105322,00;96891,00;89125,00;81934,00;75400,00;69338,00;63800,00;58644,00;53939,00;49579,00;45564,00;41870,00;38499,00;35367,00;32504,00;29871,00;27440,00;25202,00;23140,00;21240,00;19490,00;17879,00;16393,00;15021,00;13754,00;12580,00;11483,00;10472,00;9544,00;8688,00;7895,00;7158,00;6468,00;-85,60;-85,54;-85,48;-85,39;-85,29;-85,18;-85,04;-84,89;-84,74;-84,55;-84,34;-84,12;-83,89;-83,60;-83,28;-82,89;-82,47;-82,08;-81,61;-81,10;-80,53;-79,91;-79,23;-78,48;-77,67;-76,77;-75,80;-74,74;-73,59;-72,31;-70,82;-69,15;-67,32;-65,35;-63,14;-60,66
I2_C0_T2;1,00;2,00;2,00;1,00;0,50;175666,00;161516,00;148634,00;136642,00;125664,00;115576,00;106259,00;97761,00;89872,00;82693,00;76015,00;69930,00;64284,00;58981,00;54225,00;49853,00;45791,00;42103,00;38667,00;35520,00;32623,00;29949,00;27489,00;25228,00;23142,00;21221,00;19447,00;17809,00;16291,00;14868,00;13556,00;12358,00;11258,00;10237,00;9289,00;8407,00;-85,81;-85,74;-85,70;-85,58;-85,47;-85,38;-85,26;-85,10;-84,90;-84,73;-84,54;-84,33;-84,09;-83,83;-83,45;-83,09;-82,69;-82,27;-81,80;-81,27;-80,71;-80,09;-79,40;-78,66;-77,85;-76,97;-75,99;-74,94;-73,81;-72,54;-71,04;-69,35;-67,52;-65,55;-63,34;-60,88
I2_C0_T3;1,00;2,00;3,00;1,00;0,75;168368,00;154841,00;142392,00;130978,00;120496,00;110813,00;101930,00;93715,00;86209,00;79284,00;72891,00;67006,00;61620,00;56568,00;51984,00;47810,00;43918,00;40373,00;37087,00;34068,00;31289,00;28732,00;26370,00;24197,00;22197,00;20353,00;18653,00;17083,00;15624,00;14260,00;13002,00;11854,00;10799,00;9816,00;8907,00;8055,00;-85,81;-85,73;-85,67;-85,57;-85,48;-85,35;-85,21;-85,09;-84,89;-84,70;-84,50;-84,31;-84,03;-83,74;-83,42;-83,07;-82,63;-82,22;-81,75;-81,24;-80,67;-80,04;-79,37;-78,62;-77,80;-76,92;-75,94;-74,88;-73,75;-72,48;-70,98;-69,31;-67,49;-65,49;-63,28;-60,83
I2_C0_T4;1,00;2,00;4,00;1,00;1,00;160649,00;147707,00;135925,00;125057,00;114981,00;105769,00;97240,00;89568,00;82309,00;75700,00;69591,00;64008,00;58812,00;54018,00;49656,00;45652,00;41954,00;38562,00;35429,00;32546,00;29896,00;27450,00;25193,00;23124,00;21212,00;19449,00;17827,00;16326,00;14935,00;13630,00;12428,00;11330,00;10319,00;9382,00;8511,00;7697,00;-85,72;-85,65;-85,58;-85,48;-85,38;-85,27;-85,12;-84,97;-84,82;-84,61;-84,41;-84,21;-83,96;-83,67;-83,29;-82,96;-82,55;-82,14;-81,67;-81,15;-80,58;-79,97;-79,28;-78,54;-77,72;-76,83;-75,86;-74,80;-73,66;-72,39;-70,88;-69,20;-67,39;-65,40;-63,18;-60,73
I2_C0_T5;1,00;2,00;5,00;1,00;1,25;153090,00;140934,00;129552,00;119216,00;109712,00;100908,00;92835,00;85409,00;78551,00;72267,00;66462,00;61162,00;56178,00;51641,00;47460,00;43659,00;40116,00;36888,00;33894,00;31144,00;28602,00;26271,00;24113,00;22134,00;20309,00;18625,00;17069,00;15638,00;14303,00;13055,00;11902,00;10854,00;9884,00;8987,00;8154,00;7378,00;-85,54;-85,47;-85,39;-85,29;-85,18;-85,07;-84,93;-84,81;-84,57;-84,45;-84,21;-84,03;-83,78;-83,50;-83,13;-82,78;-82,38;-81,97;-81,50;-81,00;-80,44;-79,82;-79,15;-78,40;-77,59;-76,70;-75,74;-74,68;-73,55;-72,28;-70,76;-69,11;-67,29;-65,29;-63,09;-60,63
