Id_Trilha;isolamento_QualItatIvo;NíveCurtoCirtuito_Qualitativo;EspessuraTrlha_Qualitativo;Isolamento_Quantitativo_mm;EspessuraTrlha__Quantitativo_mm;Frequencia_Hz;absz;phasez_DEG;realz;imagz;R_ACurtoVsAIsolamento;R_ATrilhaVsAIsolamento;Area_CURTO;Area_ISOLAMENTO;Area_TRILHA
I1_C3_T5;1;3;5;0,5;1,25;894753;40465;-83,45302173;4613,72;-40201,52;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;820994;44043;-83,83564295;4729,304;-43788,04;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;753315;47928;-84,18079273;4859,41;-47681,08;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;691215;52170;-84,50611816;4994,806;-51930,46;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;634235;56790;-84,81024416;5136,816;-56557,38;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;581951;61810;-85,04332339;5340,532;-61578,96;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;533978;67240;-85,25577614;5561,104;-67009,84;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;489959;73148;-85,45791565;5792,612;-72917,96;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;449569;79588;-85,67323319;6004,518;-79361,24;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;412509;86562;-85,84752695;6267,92;-86334,88;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;378504;94170;-85,98366172;6595,582;-93938,22;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;347302;102459;-86,14088134;6895,674;-102226,6;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;318672;111473;-86,27380755;7244,552;-111237;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;292402;121263;-86,39424328;7626,436;-121023,2;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;268298;131857;-86,5256798;7990,66;-131614,6;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;246180;143481;-86,60257073;8502,68;-143228;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;225886;156041;-86,68782685;9015,624;-155778,4;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;207265;169777;-86,74982089;9625,22;-169502,4;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;190179;184685;-86,85100523;10145,16;-184404,8;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;174502;200891;-86,92044772;10792,4;-200599,4;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;160117;218446;-86,95665865;11597,84;-218137,6;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;146917;237590;-87,04569629;12245,2;-237274;0,005765996;1,240999088;9204;1596255;1980951
